"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 09:27:17 GMT 2021","Fri Aug 13 09:27:19 GMT 2021","2105","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 09:28:56 GMT 2021","Fri Aug 13 09:29:10 GMT 2021","14859","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"passed","Fri Aug 13 09:29:25 GMT 2021","Fri Aug 13 09:29:32 GMT 2021","7386","test","test_conduit_krf","TestConduit","","","test_logout",""
"passed","Fri Aug 13 09:27:39 GMT 2021","Fri Aug 13 09:27:47 GMT 2021","8305","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Fri Aug 13 09:28:03 GMT 2021","Fri Aug 13 09:28:19 GMT 2021","15776","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"passed","Fri Aug 13 09:27:27 GMT 2021","Fri Aug 13 09:27:36 GMT 2021","8627","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 09:27:56 GMT 2021","Fri Aug 13 09:28:01 GMT 2021","5268","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 09:28:31 GMT 2021","Fri Aug 13 09:28:54 GMT 2021","23046","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 09:27:49 GMT 2021","Fri Aug 13 09:27:55 GMT 2021","5324","test","test_conduit_krf","TestConduit","","","test_data_list",""
"broken","Fri Aug 13 09:28:21 GMT 2021","Fri Aug 13 09:28:28 GMT 2021","7319","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 09:29:13 GMT 2021","Fri Aug 13 09:29:22 GMT 2021","9362","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 09:27:22 GMT 2021","Fri Aug 13 09:27:26 GMT 2021","4074","test","test_conduit_krf","TestConduit","","","test_cookies",""
