"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 20:37:33 GMT 2021","Thu Aug 12 20:37:35 GMT 2021","2071","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Thu Aug 12 20:37:54 GMT 2021","Thu Aug 12 20:38:02 GMT 2021","8295","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Thu Aug 12 20:37:43 GMT 2021","Thu Aug 12 20:37:52 GMT 2021","8516","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Thu Aug 12 20:37:37 GMT 2021","Thu Aug 12 20:37:41 GMT 2021","4078","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Thu Aug 12 20:38:04 GMT 2021","Thu Aug 12 20:38:09 GMT 2021","5336","test","test_conduit_krf","TestConduit","","","test_data_list",""
