"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 15:08:51 GMT 2021","Thu Aug 12 15:08:55 GMT 2021","4082","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Thu Aug 12 15:08:46 GMT 2021","Thu Aug 12 15:08:48 GMT 2021","2073","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Thu Aug 12 15:08:55 GMT 2021","Thu Aug 12 15:08:55 GMT 2021","1","test","test_elso","","","","test_elso",""
