"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 16:52:27 GMT 2021","Thu Aug 12 16:52:35 GMT 2021","8426","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Thu Aug 12 16:52:16 GMT 2021","Thu Aug 12 16:52:18 GMT 2021","2045","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Thu Aug 12 16:52:20 GMT 2021","Thu Aug 12 16:52:25 GMT 2021","4057","test","test_conduit_krf","TestConduit","","","test_cookies",""
