"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 23:10:46 GMT 2021","Thu Aug 12 23:10:48 GMT 2021","2077","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Thu Aug 12 23:10:50 GMT 2021","Thu Aug 12 23:10:54 GMT 2021","4070","test","test_conduit_krf","TestConduit","","","test_cookies",""
"broken","Thu Aug 12 23:11:48 GMT 2021","Thu Aug 12 23:11:53 GMT 2021","5268","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Thu Aug 12 23:11:24 GMT 2021","Thu Aug 12 23:11:29 GMT 2021","5274","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Thu Aug 12 23:11:06 GMT 2021","Thu Aug 12 23:11:14 GMT 2021","8307","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Thu Aug 12 23:10:56 GMT 2021","Thu Aug 12 23:11:05 GMT 2021","8719","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Thu Aug 12 23:11:16 GMT 2021","Thu Aug 12 23:11:21 GMT 2021","5333","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Thu Aug 12 23:11:30 GMT 2021","Thu Aug 12 23:11:46 GMT 2021","15809","test","test_conduit_krf","TestConduit","","","test_add_new_article",""
