"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 20:56:22 GMT 2021","Thu Aug 12 20:56:30 GMT 2021","8727","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Thu Aug 12 20:56:33 GMT 2021","Thu Aug 12 20:56:41 GMT 2021","8304","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Thu Aug 12 20:56:11 GMT 2021","Thu Aug 12 20:56:14 GMT 2021","2134","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Thu Aug 12 20:56:15 GMT 2021","Thu Aug 12 20:56:19 GMT 2021","4105","test","test_conduit_krf","TestConduit","","","test_cookies",""
"broken","Thu Aug 12 20:56:50 GMT 2021","Thu Aug 12 20:56:56 GMT 2021","5270","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Thu Aug 12 20:56:44 GMT 2021","Thu Aug 12 20:56:49 GMT 2021","5331","test","test_conduit_krf","TestConduit","","","test_data_list",""
