"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 21:33:30 GMT 2021","Fri Aug 13 21:33:38 GMT 2021","7443","test","test_conduit_krf","TestConduit","","","test_logout",""
"passed","Fri Aug 13 21:31:34 GMT 2021","Fri Aug 13 21:31:39 GMT 2021","5337","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Fri Aug 13 21:31:12 GMT 2021","Fri Aug 13 21:31:14 GMT 2021","2071","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 21:31:42 GMT 2021","Fri Aug 13 21:31:47 GMT 2021","5340","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 21:32:05 GMT 2021","Fri Aug 13 21:32:38 GMT 2021","33399","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 21:31:26 GMT 2021","Fri Aug 13 21:31:32 GMT 2021","6375","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Fri Aug 13 21:33:03 GMT 2021","Fri Aug 13 21:33:18 GMT 2021","15027","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"passed","Fri Aug 13 21:31:17 GMT 2021","Fri Aug 13 21:31:23 GMT 2021","6501","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 21:33:19 GMT 2021","Fri Aug 13 21:33:29 GMT 2021","9438","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 21:31:07 GMT 2021","Fri Aug 13 21:31:09 GMT 2021","2054","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 21:31:49 GMT 2021","Fri Aug 13 21:32:02 GMT 2021","13732","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"passed","Fri Aug 13 21:32:41 GMT 2021","Fri Aug 13 21:33:00 GMT 2021","19234","test","test_conduit_krf","TestConduit","","","test_modify_data",""
