"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 20:12:59 GMT 2021","Fri Aug 13 20:13:05 GMT 2021","6303","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Fri Aug 13 20:13:38 GMT 2021","Fri Aug 13 20:14:12 GMT 2021","33192","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 20:12:45 GMT 2021","Fri Aug 13 20:12:47 GMT 2021","2096","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 20:13:08 GMT 2021","Fri Aug 13 20:13:13 GMT 2021","5291","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Fri Aug 13 20:14:13 GMT 2021","Fri Aug 13 20:14:32 GMT 2021","19111","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 20:13:15 GMT 2021","Fri Aug 13 20:13:21 GMT 2021","5288","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 20:14:35 GMT 2021","Fri Aug 13 20:14:50 GMT 2021","14874","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"passed","Fri Aug 13 20:14:51 GMT 2021","Fri Aug 13 20:15:00 GMT 2021","9374","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 20:13:23 GMT 2021","Fri Aug 13 20:13:37 GMT 2021","13619","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"passed","Fri Aug 13 20:15:03 GMT 2021","Fri Aug 13 20:15:10 GMT 2021","7373","test","test_conduit_krf","TestConduit","","","test_logout",""
"passed","Fri Aug 13 20:12:41 GMT 2021","Fri Aug 13 20:12:43 GMT 2021","2088","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 20:12:50 GMT 2021","Fri Aug 13 20:12:56 GMT 2021","6630","test","test_conduit_krf","TestConduit","","","test_registration",""
