"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 00:00:43 GMT 2021","Fri Aug 13 00:00:51 GMT 2021","8323","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Fri Aug 13 00:01:01 GMT 2021","Fri Aug 13 00:01:06 GMT 2021","5283","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"broken","Fri Aug 13 00:01:25 GMT 2021","Fri Aug 13 00:01:33 GMT 2021","7317","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 00:00:31 GMT 2021","Fri Aug 13 00:00:40 GMT 2021","8609","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 00:01:35 GMT 2021","Fri Aug 13 00:01:58 GMT 2021","23034","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 00:00:25 GMT 2021","Fri Aug 13 00:00:29 GMT 2021","4071","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 00:00:20 GMT 2021","Fri Aug 13 00:00:22 GMT 2021","2074","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 00:01:08 GMT 2021","Fri Aug 13 00:01:24 GMT 2021","15797","test","test_conduit_krf","TestConduit","","","test_add_new_article",""
"passed","Fri Aug 13 00:00:53 GMT 2021","Fri Aug 13 00:00:59 GMT 2021","5313","test","test_conduit_krf","TestConduit","","","test_data_list",""
