"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 15:47:57 GMT 2021","Fri Aug 13 15:48:12 GMT 2021","14989","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"passed","Fri Aug 13 15:46:26 GMT 2021","Fri Aug 13 15:46:30 GMT 2021","4070","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 15:46:59 GMT 2021","Fri Aug 13 15:47:05 GMT 2021","5322","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 15:46:22 GMT 2021","Fri Aug 13 15:46:24 GMT 2021","2051","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 15:48:15 GMT 2021","Fri Aug 13 15:48:24 GMT 2021","9418","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 15:46:41 GMT 2021","Fri Aug 13 15:46:50 GMT 2021","8355","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Fri Aug 13 15:47:32 GMT 2021","Fri Aug 13 15:47:55 GMT 2021","23177","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 15:46:31 GMT 2021","Fri Aug 13 15:46:40 GMT 2021","8468","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 15:46:52 GMT 2021","Fri Aug 13 15:46:58 GMT 2021","5374","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Fri Aug 13 15:47:07 GMT 2021","Fri Aug 13 15:47:23 GMT 2021","15731","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"broken","Fri Aug 13 15:47:24 GMT 2021","Fri Aug 13 15:47:30 GMT 2021","5299","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 15:48:26 GMT 2021","Fri Aug 13 15:48:34 GMT 2021","7415","test","test_conduit_krf","TestConduit","","","test_logout",""
