"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 19:06:20 GMT 2021","Fri Aug 13 19:06:30 GMT 2021","9530","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 19:06:03 GMT 2021","Fri Aug 13 19:06:18 GMT 2021","15103","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"passed","Fri Aug 13 19:06:33 GMT 2021","Fri Aug 13 19:06:40 GMT 2021","7501","test","test_conduit_krf","TestConduit","","","test_logout",""
"passed","Fri Aug 13 19:04:44 GMT 2021","Fri Aug 13 19:05:00 GMT 2021","15853","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"passed","Fri Aug 13 19:05:37 GMT 2021","Fri Aug 13 19:06:01 GMT 2021","23449","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 19:03:57 GMT 2021","Fri Aug 13 19:03:59 GMT 2021","2140","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 19:04:29 GMT 2021","Fri Aug 13 19:04:34 GMT 2021","5451","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Fri Aug 13 19:05:02 GMT 2021","Fri Aug 13 19:05:36 GMT 2021","33602","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 19:04:36 GMT 2021","Fri Aug 13 19:04:41 GMT 2021","5367","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 19:04:08 GMT 2021","Fri Aug 13 19:04:17 GMT 2021","9361","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 19:04:01 GMT 2021","Fri Aug 13 19:04:05 GMT 2021","4340","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 19:04:19 GMT 2021","Fri Aug 13 19:04:27 GMT 2021","8436","test","test_conduit_krf","TestConduit","","","test_login",""
