"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 15:54:00 GMT 2021","Fri Aug 13 15:54:08 GMT 2021","8457","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 15:55:29 GMT 2021","Fri Aug 13 15:55:44 GMT 2021","14970","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"passed","Fri Aug 13 15:55:59 GMT 2021","Fri Aug 13 15:56:06 GMT 2021","7389","test","test_conduit_krf","TestConduit","","","test_logout",""
"passed","Fri Aug 13 15:54:29 GMT 2021","Fri Aug 13 15:54:34 GMT 2021","5301","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"broken","Fri Aug 13 15:54:54 GMT 2021","Fri Aug 13 15:55:02 GMT 2021","7347","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 15:55:04 GMT 2021","Fri Aug 13 15:55:27 GMT 2021","23152","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 15:53:54 GMT 2021","Fri Aug 13 15:53:58 GMT 2021","4060","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 15:54:11 GMT 2021","Fri Aug 13 15:54:19 GMT 2021","8342","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Fri Aug 13 15:53:51 GMT 2021","Fri Aug 13 15:53:53 GMT 2021","2051","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 15:55:47 GMT 2021","Fri Aug 13 15:55:56 GMT 2021","9421","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 15:54:22 GMT 2021","Fri Aug 13 15:54:27 GMT 2021","5366","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Fri Aug 13 15:54:37 GMT 2021","Fri Aug 13 15:54:53 GMT 2021","15732","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
