"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 19:42:29 GMT 2021","Fri Aug 13 19:42:34 GMT 2021","5300","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Fri Aug 13 19:43:00 GMT 2021","Fri Aug 13 19:43:33 GMT 2021","33203","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 19:42:44 GMT 2021","Fri Aug 13 19:42:57 GMT 2021","13626","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"passed","Fri Aug 13 19:44:26 GMT 2021","Fri Aug 13 19:44:33 GMT 2021","7372","test","test_conduit_krf","TestConduit","","","test_logout",""
"passed","Fri Aug 13 19:42:20 GMT 2021","Fri Aug 13 19:42:27 GMT 2021","6315","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Fri Aug 13 19:42:07 GMT 2021","Fri Aug 13 19:42:09 GMT 2021","2061","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 19:43:57 GMT 2021","Fri Aug 13 19:44:12 GMT 2021","14897","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"passed","Fri Aug 13 19:44:15 GMT 2021","Fri Aug 13 19:44:24 GMT 2021","9384","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 19:43:36 GMT 2021","Fri Aug 13 19:43:55 GMT 2021","19079","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 19:42:37 GMT 2021","Fri Aug 13 19:42:42 GMT 2021","5299","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 19:42:02 GMT 2021","Fri Aug 13 19:42:04 GMT 2021","2046","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 19:42:11 GMT 2021","Fri Aug 13 19:42:18 GMT 2021","6401","test","test_conduit_krf","TestConduit","","","test_registration",""
