"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 00:56:23 GMT 2021","Fri Aug 13 00:56:31 GMT 2021","8583","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 00:56:34 GMT 2021","Fri Aug 13 00:56:42 GMT 2021","8307","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Fri Aug 13 00:56:59 GMT 2021","Fri Aug 13 00:57:15 GMT 2021","15729","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"passed","Fri Aug 13 00:56:45 GMT 2021","Fri Aug 13 00:56:50 GMT 2021","5353","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Fri Aug 13 00:58:08 GMT 2021","Fri Aug 13 00:58:18 GMT 2021","9374","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 00:57:51 GMT 2021","Fri Aug 13 00:58:06 GMT 2021","14913","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"broken","Fri Aug 13 00:57:17 GMT 2021","Fri Aug 13 00:57:25 GMT 2021","7331","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 00:56:16 GMT 2021","Fri Aug 13 00:56:20 GMT 2021","4072","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 00:57:26 GMT 2021","Fri Aug 13 00:57:49 GMT 2021","23058","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 00:56:52 GMT 2021","Fri Aug 13 00:56:58 GMT 2021","5286","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 00:56:12 GMT 2021","Fri Aug 13 00:56:15 GMT 2021","2066","test","test_conduit_krf","TestConduit","","","test_homepage",""
