"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 20:22:44 GMT 2021","Thu Aug 12 20:22:52 GMT 2021","8300","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Thu Aug 12 20:22:34 GMT 2021","Thu Aug 12 20:22:42 GMT 2021","8723","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Thu Aug 12 20:22:54 GMT 2021","Thu Aug 12 20:22:59 GMT 2021","5318","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Thu Aug 12 20:22:27 GMT 2021","Thu Aug 12 20:22:31 GMT 2021","4093","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Thu Aug 12 20:22:23 GMT 2021","Thu Aug 12 20:22:25 GMT 2021","2071","test","test_conduit_krf","TestConduit","","","test_homepage",""
