"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 16:13:51 GMT 2021","Fri Aug 13 16:13:55 GMT 2021","4073","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 16:14:34 GMT 2021","Fri Aug 13 16:14:50 GMT 2021","15860","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"passed","Fri Aug 13 16:15:58 GMT 2021","Fri Aug 13 16:16:05 GMT 2021","7448","test","test_conduit_krf","TestConduit","","","test_logout",""
"passed","Fri Aug 13 16:15:46 GMT 2021","Fri Aug 13 16:15:55 GMT 2021","9497","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 16:13:58 GMT 2021","Fri Aug 13 16:14:07 GMT 2021","9111","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 16:14:27 GMT 2021","Fri Aug 13 16:14:32 GMT 2021","5360","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 16:13:48 GMT 2021","Fri Aug 13 16:13:50 GMT 2021","2058","test","test_conduit_krf","TestConduit","","","test_homepage",""
"broken","Fri Aug 13 16:14:53 GMT 2021","Fri Aug 13 16:15:00 GMT 2021","7428","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 16:15:29 GMT 2021","Fri Aug 13 16:15:44 GMT 2021","15145","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"passed","Fri Aug 13 16:14:10 GMT 2021","Fri Aug 13 16:14:18 GMT 2021","8400","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Fri Aug 13 16:15:03 GMT 2021","Fri Aug 13 16:15:26 GMT 2021","23377","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 16:14:19 GMT 2021","Fri Aug 13 16:14:25 GMT 2021","5446","test","test_conduit_krf","TestConduit","","","test_data_list",""
