"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 23:17:14 GMT 2021","Thu Aug 12 23:17:23 GMT 2021","8814","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Thu Aug 12 23:17:34 GMT 2021","Thu Aug 12 23:17:40 GMT 2021","5377","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Thu Aug 12 23:17:05 GMT 2021","Thu Aug 12 23:17:07 GMT 2021","2146","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Thu Aug 12 23:17:24 GMT 2021","Thu Aug 12 23:17:33 GMT 2021","8338","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Thu Aug 12 23:17:48 GMT 2021","Thu Aug 12 23:18:04 GMT 2021","15944","test","test_conduit_krf","TestConduit","","","test_add_new_article",""
"broken","Thu Aug 12 23:18:05 GMT 2021","Thu Aug 12 23:18:11 GMT 2021","5313","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Thu Aug 12 23:17:41 GMT 2021","Thu Aug 12 23:17:46 GMT 2021","5327","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Thu Aug 12 23:17:08 GMT 2021","Thu Aug 12 23:17:12 GMT 2021","4151","test","test_conduit_krf","TestConduit","","","test_cookies",""
