"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 23:25:00 GMT 2021","Thu Aug 12 23:25:08 GMT 2021","8584","test","test_conduit_krf","TestConduit","","","test_registration",""
"broken","Thu Aug 12 23:25:53 GMT 2021","Thu Aug 12 23:26:00 GMT 2021","7374","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Thu Aug 12 23:25:20 GMT 2021","Thu Aug 12 23:25:25 GMT 2021","5431","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Thu Aug 12 23:25:27 GMT 2021","Thu Aug 12 23:25:32 GMT 2021","5329","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Thu Aug 12 23:25:10 GMT 2021","Thu Aug 12 23:25:18 GMT 2021","8389","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Thu Aug 12 23:24:53 GMT 2021","Thu Aug 12 23:24:57 GMT 2021","4067","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Thu Aug 12 23:25:34 GMT 2021","Thu Aug 12 23:25:50 GMT 2021","15858","test","test_conduit_krf","TestConduit","","","test_add_new_article",""
"passed","Thu Aug 12 23:24:48 GMT 2021","Thu Aug 12 23:24:51 GMT 2021","2079","test","test_conduit_krf","TestConduit","","","test_homepage",""
