"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 01:13:55 GMT 2021","Fri Aug 13 01:13:57 GMT 2021","2091","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 01:13:58 GMT 2021","Fri Aug 13 01:14:02 GMT 2021","4086","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 01:14:04 GMT 2021","Fri Aug 13 01:14:13 GMT 2021","8634","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 01:15:07 GMT 2021","Fri Aug 13 01:15:31 GMT 2021","23278","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"broken","Fri Aug 13 01:14:58 GMT 2021","Fri Aug 13 01:15:06 GMT 2021","7390","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 01:14:32 GMT 2021","Fri Aug 13 01:14:37 GMT 2021","5342","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 01:14:40 GMT 2021","Fri Aug 13 01:14:56 GMT 2021","15878","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"passed","Fri Aug 13 01:16:02 GMT 2021","Fri Aug 13 01:16:10 GMT 2021","7460","test","test_conduit_krf","TestConduit","","","test_logout",""
"passed","Fri Aug 13 01:14:24 GMT 2021","Fri Aug 13 01:14:29 GMT 2021","5394","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Fri Aug 13 01:14:14 GMT 2021","Fri Aug 13 01:14:22 GMT 2021","8378","test","test_conduit_krf","TestConduit","","","test_login",""
"passed","Fri Aug 13 01:15:50 GMT 2021","Fri Aug 13 01:15:59 GMT 2021","9459","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 01:15:33 GMT 2021","Fri Aug 13 01:15:48 GMT 2021","15063","test","test_conduit_krf","TestConduit","","","test_delete_data",""
