"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 00:45:15 GMT 2021","Fri Aug 13 00:45:32 GMT 2021","16131","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"passed","Fri Aug 13 00:45:08 GMT 2021","Fri Aug 13 00:45:14 GMT 2021","5370","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 00:44:26 GMT 2021","Fri Aug 13 00:44:28 GMT 2021","2134","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 00:44:31 GMT 2021","Fri Aug 13 00:44:35 GMT 2021","4103","test","test_conduit_krf","TestConduit","","","test_cookies",""
"passed","Fri Aug 13 00:44:37 GMT 2021","Fri Aug 13 00:44:47 GMT 2021","9341","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 00:46:09 GMT 2021","Fri Aug 13 00:46:24 GMT 2021","15166","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"passed","Fri Aug 13 00:45:00 GMT 2021","Fri Aug 13 00:45:06 GMT 2021","5427","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Fri Aug 13 00:45:43 GMT 2021","Fri Aug 13 00:46:07 GMT 2021","23347","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 00:44:49 GMT 2021","Fri Aug 13 00:44:58 GMT 2021","8391","test","test_conduit_krf","TestConduit","","","test_login",""
"broken","Fri Aug 13 00:45:34 GMT 2021","Fri Aug 13 00:45:42 GMT 2021","7395","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
