"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 16:32:45 GMT 2021","Fri Aug 13 16:33:08 GMT 2021","23031","test","test_conduit_krf","TestConduit","","","test_modify_data",""
"passed","Fri Aug 13 16:32:04 GMT 2021","Fri Aug 13 16:32:09 GMT 2021","5322","test","test_conduit_krf","TestConduit","","","test_data_list",""
"passed","Fri Aug 13 16:33:11 GMT 2021","Fri Aug 13 16:33:26 GMT 2021","14870","test","test_conduit_krf","TestConduit","","","test_delete_data",""
"passed","Fri Aug 13 16:32:19 GMT 2021","Fri Aug 13 16:32:35 GMT 2021","15718","test","test_conduit_krf","TestConduit","","","test_add_new_data",""
"passed","Fri Aug 13 16:32:12 GMT 2021","Fri Aug 13 16:32:17 GMT 2021","5268","test","test_conduit_krf","TestConduit","","","test_scrolling",""
"passed","Fri Aug 13 16:31:36 GMT 2021","Fri Aug 13 16:31:40 GMT 2021","4072","test","test_conduit_krf","TestConduit","","","test_cookies",""
"broken","Fri Aug 13 16:32:37 GMT 2021","Fri Aug 13 16:32:44 GMT 2021","7320","test","test_conduit_krf","TestConduit","","","test_import_data_from_file",""
"passed","Fri Aug 13 16:31:32 GMT 2021","Fri Aug 13 16:31:34 GMT 2021","2119","test","test_conduit_krf","TestConduit","","","test_homepage",""
"passed","Fri Aug 13 16:31:43 GMT 2021","Fri Aug 13 16:31:51 GMT 2021","8565","test","test_conduit_krf","TestConduit","","","test_registration",""
"passed","Fri Aug 13 16:33:39 GMT 2021","Fri Aug 13 16:33:47 GMT 2021","7399","test","test_conduit_krf","TestConduit","","","test_logout",""
"passed","Fri Aug 13 16:33:28 GMT 2021","Fri Aug 13 16:33:38 GMT 2021","9372","test","test_conduit_krf","TestConduit","","","test_save_data_to_file",""
"passed","Fri Aug 13 16:31:53 GMT 2021","Fri Aug 13 16:32:01 GMT 2021","8303","test","test_conduit_krf","TestConduit","","","test_login",""
